,ACCESS-CM2,ACCESS-ESM1-5,AWI-CM-1-1-MR,BCC-CSM2-MR,CanESM5,CMCC-ESM2,EC-Earth3,EC-Earth3-Veg,EC-Earth3-Veg-LR,FGOALS-g3,GFDL-ESM4,IITM-ESM,INM-CM4-8,INM-CM5-0,IPSL-CM6A-LR,KIOST-ESM,MIROC6,MPI-ESM1-2-HR,MPI-ESM1-2-LR,MRI-ESM2-0,NESM3,NorESM2-LM,NorESM2-MM,TaiESM1
0,20.127,17.0549,22.6551,16.6593,20.6519,19.4183,13.6879,21.1827,20.8671,19.6096,16.4912,16.7385,12.1383,22.5385,18.9631,21.3852,19.424,23.0749,16.688,18.369,16.992,18.0733,21.3449,18.698
1,21.2771,15.5204,23.6189,19.6352,19.5963,20.4813,11.3439,19.5095,20.5641,20.3849,17.7904,18.6025,16.1243,20.5989,20.018,20.803,21.4275,21.9692,16.6494,17.6815,18.1149,18.5893,20.2582,17.8449
2,21.9143,15.4176,23.0871,20.5193,20.8386,21.1913,11.9655,17.9921,20.7122,19.8185,17.9631,19.2346,18.3112,21.7122,20.2869,19.8217,23.1269,22.1928,16.549,17.068,19.8864,19.0275,19.508,18.8523
3,22.5072,16.2056,23.1906,20.9852,21.7656,17.1494,14.8146,16.9023,19.0971,19.2045,19.2343,18.6255,20.3181,23.6021,21.4355,20.1381,22.1283,22.139,18.2189,17.8995,20.4716,20.4248,20.9562,20.3061
4,22.5054,19.0648,21.5036,21.3975,21.1325,16.1195,15.9286,18.1817,17.3984,18.3538,19.2561,19.1605,20.9739,24.1595,19.0569,21.5109,18.3048,24.017,19.3788,20.0684,20.3448,21.0341,21.2491,22.497
5,21.1842,21.2032,21.0771,18.4479,18.9917,16.2336,15.7812,19.4157,18.2105,18.5294,17.9243,18.0693,21.4374,21.6012,18.0766,21.925,16.4029,22.9066,20.2253,17.9357,20.3683,20.5036,23.0826,20.8682
6,17.2518,22.4814,21.7663,19.9304,19.8541,16.9757,16.8601,17.1556,19.6867,19.9446,17.0751,14.9428,21.6131,21.8568,18.4923,21.6313,14.7878,21.2366,18.1065,17.6302,19.9962,18.7337,20.4899,19.959
7,16.2649,22.4174,21.7302,21.9914,20.8918,15.6137,16.9404,18.4629,19.7804,20.7634,18.1753,16.5917,21.9596,23.9098,18.6395,21.6804,14.3217,21.5327,17.692,18.0965,21.2457,18.2375,15.2883,19.4744
8,16.8766,17.9582,21.3812,24.0619,19.9733,16.3492,17.104,19.161,20.2863,20.1553,19.9953,17.9872,17.2336,24.5035,19.7007,22.5434,14.7591,21.5971,19.0873,19.806,20.6507,18.3302,14.51,19.1772
9,16.2956,14.1688,23.7823,21.0195,19.2409,18.2322,16.6229,20.3925,21.2062,21.2194,19.7716,18.3217,15.1193,20.5838,20.5454,23.4955,16.1737,21.569,20.8508,21.4236,21.2632,18.8451,16.7659,18.3761
10,16.2394,14.6437,23.5003,22.7996,19.7648,19.0521,16.3988,20.9237,20.667,21.445,20.9657,17.1138,15.4751,18.3154,19.9818,19.2767,17.4195,20.2474,22.5112,21.9631,21.811,19.0108,19.2113,19.9259
11,19.4063,15.49,22.8792,24.3437,19.8067,20.9178,17.977,22.1111,21.4007,18.699,19.33,15.0843,17.8054,17.354,18.9663,18.3291,18.2973,17.8885,22.8337,21.6473,20.7887,19.691,17.5589,19.0297
12,19.2708,16.0394,23.1571,23.9393,17.9572,20.9205,19.0102,24.3586,17.9445,17.0529,17.5373,14.082,20.0935,17.9227,18.565,17.7532,18.9682,17.9162,23.1872,20.4998,22.3061,19.2245,15.6858,20.7255
13,15.962,18.1765,24.1142,22.2242,19.6147,20.5576,20.2585,21.3314,17.4367,18.2397,16.1376,14.6768,21.1724,19.5259,18.3247,17.3144,19.3653,19.8389,21.707,21.9079,21.0993,17.318,15.3681,20.9583
14,16.8764,21.0003,23.4938,19.5273,22.1032,19.3448,21.572,19.5138,17.5816,19.0749,15.6276,15.5352,17.3985,21.8816,19.178,16.2433,19.8576,17.49,19.8524,19.4987,21.8099,16.4239,16.1848,13.8677
15,19.3952,18.7198,23.0117,19.7979,23.586,17.048,20.7363,19.6117,18.0191,19.0834,15.383,15.8017,17.8798,20.9204,19.8492,16.999,16.1013,17.6162,16.6742,19.9696,23.3861,16.5046,16.0795,12.6698
16,21.0145,17.7237,22.4329,20.75,24.0412,16.6631,19.1489,19.3481,20.1789,18.4492,17.0553,16.526,18.5986,19.074,21.1238,18.6864,12.651,19.9594,14.8704,20.2222,23.3884,15.6968,16.7271,15.6899
