"觀測時間(day)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","最小相對溼度(%)","最小相對溼度時間(LST)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","全天空日射量(MJ/㎡)"
"ObsTime","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","T Max","T Max Time","T Min","T Min Time","RHMin","RHMinTime","WSGust","WDGust","WGustTime","Precp","GloblRad"
"01","1025.4","2021/01/01 08:31:00","1020.5","2021/01/01 14:34:00","17.5","2021/01/01 13:25:00","10.6","2021/01/01 00:15:00","51","2021/01/01 12:11:00","13.0","19","2021/01/01 15:59:00","0.0","13.79"
"02","1023.2","2021/01/02 03:46:00","1018.5","2021/01/02 14:29:00","19.0","2021/01/02 13:35:00","11.1","2021/01/02 23:55:00","59","2021/01/02 13:35:00","13.1","18","2021/01/02 12:32:00","0.0","16.00"
"03","1023.0","2021/01/03 09:15:00","1019.4","2021/01/03 14:32:00","21.0","2021/01/03 13:21:00","10.2","2021/01/03 03:44:00","62","2021/01/03 12:12:00","12.2","348","2021/01/03 13:00:00","0.0","16.30"
"04","1022.1","2021/01/04 00:01:00","1017.6","2021/01/04 14:54:00","19.5","2021/01/04 09:51:00","16.8","2021/01/04 04:41:00","79","2021/01/04 09:55:00","12.8","16","2021/01/04 13:21:00","0.0","6.40"
"05","1019.8","2021/01/05 00:35:00","1016.0","2021/01/05 13:31:00","20.9","2021/01/05 11:25:00","15.8","2021/01/05 23:02:00","71","2021/01/05 11:04:00","16.5","13","2021/01/05 16:22:00","0.0","2.00"
"06","1019.6","2021/01/06 08:01:00","1015.1","2021/01/06 14:15:00","18.1","2021/01/06 13:56:00","14.5","2021/01/06 23:55:00","70","2021/01/06 12:35:00","15.3","20","2021/01/06 03:43:00","0.0","2.99"
"07","1021.6","2021/01/07 22:55:00","1016.7","2021/01/07 14:53:00","16.8","2021/01/07 12:42:00","10.9","2021/01/07 23:31:00","63","2021/01/07 13:03:00","21.0","6","2021/01/07 17:46:00","0.0","11.79"
"08","1024.0","2021/01/08 09:15:00","1021.0","2021/01/08 00:06:00","11.1","2021/01/08 00:02:00","8.3","2021/01/08 18:11:00","47","2021/01/08 23:51:00","19.8","17","2021/01/08 05:12:00","0.0","4.90"
"09","1024.0","2021/01/09 09:11:00","1020.1","2021/01/09 13:58:00","13.7","2021/01/09 11:05:00","8.3","2021/01/09 06:25:00","44","2021/01/09 10:35:00","16.3","8","2021/01/09 03:39:00","0.0","15.49"
"10","1023.3","2021/01/10 00:35:00","1018.8","2021/01/10 15:07:00","18.1","2021/01/10 11:55:00","8.3","2021/01/10 06:35:00","49","2021/01/10 12:51:00","14.0","3","2021/01/10 14:06:00","0.0","16.20"
"11","1024.0","2021/01/11 08:38:00","1020.5","2021/01/11 14:31:00","14.8","2021/01/11 12:35:00","9.3","2021/01/11 23:58:00","65","2021/01/11 00:12:00","15.7","7","2021/01/11 16:02:00","0.5","4.00"
"12","1024.0","2021/01/12 00:21:00","1018.9","2021/01/12 14:55:00","15.2","2021/01/12 14:31:00","8.7","2021/01/12 23:55:00","50","2021/01/12 11:44:00","15.0","355","2021/01/12 10:02:00","1.0","13.29"
"13","1020.5","2021/01/13 10:05:00","1016.4","2021/01/13 14:12:00","18.7","2021/01/13 13:54:00","7.3","2021/01/13 06:56:00","46","2021/01/13 10:55:00","8.5","5","2021/01/13 04:15:00","0.0","17.09"
"14","1019.1","2021/01/14 09:02:00","1015.4","2021/01/14 14:22:00","20.6","2021/01/14 13:11:00","7.4","2021/01/14 06:25:00","44","2021/01/14 10:32:00","7.0","360","2021/01/14 16:33:00","0.0","16.99"
"15","1017.6","2021/01/15 08:51:00","1012.8","2021/01/15 14:43:00","20.4","2021/01/15 13:07:00","7.9","2021/01/15 06:31:00","67","2021/01/15 13:02:00","7.6","15","2021/01/15 16:51:00","0.0","16.39"
"16","1019.5","2021/01/16 23:52:00","1014.1","2021/01/16 02:44:00","22.1","2021/01/16 13:01:00","10.0","2021/01/16 06:54:00","51","2021/01/16 11:05:00","16.7","7","2021/01/16 15:59:00","0.0","15.40"
"17","1022.9","2021/01/17 21:05:00","1018.9","2021/01/17 15:32:00","17.3","2021/01/17 10:42:00","12.3","2021/01/17 23:52:00","60","2021/01/17 11:12:00","21.4","8","2021/01/17 12:43:00","0.0","15.80"
"18","1022.7","2021/01/18 00:01:00","1018.5","2021/01/18 14:56:00","18.0","2021/01/18 11:41:00","11.7","2021/01/18 03:55:00","56","2021/01/18 11:54:00","14.1","6","2021/01/18 14:27:00","0.0","15.30"
"19","1020.5","2021/01/19 10:25:00","1017.9","2021/01/19 14:54:00","21.3","2021/01/19 13:25:00","9.4","2021/01/19 06:50:00","54","2021/01/19 13:25:00","7.3","1","2021/01/19 15:22:00","0.0","15.70"
"20","1019.2","2021/01/20 09:49:00","1016.0","2021/01/20 15:11:00","21.2","2021/01/20 10:51:00","11.2","2021/01/20 05:44:00","65","2021/01/20 10:23:00","8.9","360","2021/01/20 15:44:00","0.0","12.00"
"21","1017.0","2021/01/21 00:06:00","1012.2","2021/01/21 14:55:00","21.7","2021/01/21 13:25:00","15.5","2021/01/21 00:45:00","77","2021/01/21 13:24:00","9.3","360","2021/01/21 17:20:00","0.0","10.20"
"22","1013.3","2021/01/22 00:01:00","1009.1","2021/01/22 15:17:00","20.8","2021/01/22 11:37:00","16.9","2021/01/22 07:46:00","86","2021/01/22 11:07:00","7.9","360","2021/01/22 13:59:00","0.0","6.10"
