date,Dashe_StnPres,Dashe_StnPresMax,Dashe_StnPresMin,Dashe_RH,Dashe_RHMin,Dashe_WS,Dashe_WD,Dashe_WSGust,Dashe_WDGust,Dashe_Precp
2018/01/01,1015.1,1017.2,1012.2,75,50,1.0,326,4.2,279,0.0
2018/01/02,1014.8,1016.8,1012.3,79,53,0.9,274,5.1,309,0.0
2018/01/03,1014.9,1017.0,1012.1,83,53,0.9,28,4.9,300,0.0
2018/01/04,1013.2,1015.2,1011.4,87,61,1.1,11,6.3,360,9.0
2018/01/05,1011.3,1013.2,1009.1,92,77,1.1,328,5.2,353,6.5
2018/01/06,1011.3,1012.8,1009.6,95,85,0.9,324,4.2,345,7.5
2018/01/07,1010.4,1012.1,1008.4,86,68,1.1,356,5.0,303,0.0
2018/01/08,1009.9,1012.2,1007.7,82,66,1.4,3,8.2,351,0.0
2018/01/09,1015.7,1018.8,1011.9,91,72,1.4,330,9.4,352,0.5
2018/01/10,1019.1,1021.6,1016.5,78,60,1.2,343,5.4,4,2.5
2018/01/11,1020.2,1022.1,1017.8,63,50,1.1,348,4.3,345,0.0
2018/01/12,1021.3,1023.1,1018.5,62,39,1.1,344,5.0,9,0.0
2018/01/13,1020.9,1023.3,1018.1,66,37,1.0,332,4.5,292,0.0
2018/01/14,1017.8,1020.8,1014.8,69,31,1.0,5,5.1,334,0.0
2018/01/15,1013.9,1016.8,1011.1,76,31,1.1,299,4.2,300,0.0
2018/01/16,1010.2,1012.7,1007.6,66,26,1.1,13,5.5,326,0.0
2018/01/17,1009.6,1011.0,1008.4,77,54,0.7,6,3.6,238,0.0
2018/01/18,1011.6,1013.3,1009.6,83,62,1.0,8,4.3,271,0.0
2018/01/19,1012.6,1014.4,1010.5,84,62,1.0,310,4.6,233,0.0
2018/01/20,1011.8,1013.7,1009.8,84,65,1.0,292,4.9,313,0.0
2018/01/21,1010.4,1012.8,1008.2,85,63,1.1,336,4.1,345,0.0
2018/01/22,1008.6,1010.7,1005.5,79,45,1.2,344,6.8,2,0.0
2018/01/23,1010.5,1011.9,1008.3,78,58,1.0,334,4.9,226,0.0
2018/01/24,1010.7,1012.8,1008.0,79,48,1.0,346,4.2,311,0.0
2018/01/25,1010.9,1012.9,1008.7,76,45,1.1,331,5.1,347,0.0
2018/01/26,1011.5,1013.4,1009.4,77,52,1.4,331,5.8,320,0.0
2018/01/27,1012.1,1014.4,1010.4,74,55,1.0,293,4.8,302,0.0
2018/01/28,1009.4,1011.4,1006.7,81,56,1.4,333,6.1,14,0.0
2018/01/29,1012.2,1015.0,1008.9,84,66,1.4,6,5.3,157,0.0
2018/01/30,1014.7,1016.7,1012.2,87,68,1.1,338,4.8,344,9.0
2018/01/31,1013.6,1015.3,1010.7,82,50,1.4,355,6.5,352,0.0
2018/02/01,1015.2,1017.7,1012.9,85,69,1.4,360,5.2,23,1.0
2018/02/02,1017.2,1019.3,1014.8,79,54,1.6,335,9.4,348,0.0
2018/02/03,1018.5,1020.3,1016.4,78,64,1.5,346,5.7,324,0.0
2018/02/04,1019.1,1020.7,1017.1,78,63,1.3,350,5.3,336,0.0
2018/02/05,1019.6,1021.6,1017.2,77,68,1.5,343,6.5,315,0.0
2018/02/06,1017.0,1020.2,1014.1,66,45,1.2,3,5.4,4,0.0
2018/02/07,1015.4,1017.1,1012.6,84,66,1.0,5,5.0,1,0.0
2018/02/08,1013.3,1015.8,1011.3,91,75,1.1,328,4.5,346,0.5
2018/02/09,1011.8,1013.7,1009.2,86,61,1.1,324,5.6,317,0.0
2018/02/10,1012.1,1014.4,1009.2,86,57,1.6,321,6.0,320,0.0
2018/02/11,1016.7,1020.2,1013.7,85,68,1.3,339,7.5,2,1.5
2018/02/12,1020.2,1022.5,1017.9,76,58,0.9,45,3.8,354,0.0
2018/02/13,1019.1,1021.5,1016.5,69,46,1.0,332,4.9,322,0.0
2018/02/14,1015.5,1018.6,1012.2,65,32,0.9,334,4.1,298,0.0
2018/02/15,1012.3,1014.6,1009.2,65,37,1.0,145,5.5,170,0.0
2018/02/16,1010.4,1012.0,1008.4,80,52,0.7,3,3.8,322,0.0
2018/02/17,1012.2,1014.4,1010.2,82,63,1.1,277,4.3,309,0.0
2018/02/18,1013.6,1016.2,1010.8,78,40,1.1,9,5.8,216,0.0
2018/02/19,1012.6,1014.6,1009.7,72,38,0.9,24,6.7,293,0.0
2018/02/20,1010.1,1012.5,1008.2,69,47,1.3,270,5.5,292,0.0
2018/02/21,1009.9,1011.5,1007.6,73,50,1.3,327,5.7,295,0.0
2018/02/22,1012.3,1015.4,1010.9,86,64,1.3,26,6.4,10,1.0
2018/02/23,1014.6,1016.4,1012.7,82,57,1.0,263,4.9,302,0.0
2018/02/24,1015.0,1017.6,1012.4,83,54,1.0,37,4.6,320,0.0
2018/02/25,1012.9,1014.6,1010.8,77,49,1.2,334,7.1,311,0.0
2018/02/26,1014.0,1015.8,1012.1,79,56,1.2,1,4.7,249,0.0
,1013.1,--,--,71,--,1.2,12,--,--,0.0
2018/02/28,1009.2,1011.0,1008.2,72,53,1.0,308,5.4,139,0.0
2018/03/01,1008.5,1010.0,1006.8,74,50,0.9,303,4.4,212,0.0
2018/03/02,1008.3,1010.3,1005.9,74,50,1.0,1,5.4,294,0.0
2018/03/03,1007.6,1009.0,1005.7,78,58,1.0,294,5.8,297,0.0
2018/03/04,1008.7,1010.1,1007.3,81,49,1.4,141,6.5,254,0.0
2018/03/05,1008.8,1010.3,1007.4,79,58,1.6,138,6.5,318,0.0
2018/03/06,1012.6,1014.3,1010.1,78,66,1.1,297,4.4,313,0.0
2018/03/07,1012.0,1014.4,1009.1,76,51,1.2,331,5.8,318,0.0
2018/03/08,1012.4,1016.2,1009.7,88,72,1.4,340,6.8,2,6.0
2018/03/09,1016.0,1017.8,1014.5,76,55,1.1,26,5.5,6,3.0
2018/03/10,1017.0,1018.4,1015.3,68,44,0.9,264,5.0,317,0.0
2018/03/11,1017.1,1018.8,1015.6,65,35,1.0,7,6.2,240,0.0
2018/03/12,1015.1,1017.0,1012.6,65,35,1.0,1,5.4,306,0.0
2018/03/13,1013.3,1015.3,1011.4,58,25,0.9,31,5.6,297,0.0
2018/03/14,1011.7,1013.6,1009.7,53,29,0.9,345,5.2,299,0.0
2018/03/15,1010.0,1012.2,1007.8,74,50,1.1,303,5.5,303,16.0
2018/03/16,1010.5,1013.1,1007.9,83,49,1.2,333,6.7,13,0.5
2018/03/17,1013.2,1014.6,1011.3,80,53,1.0,335,5.3,303,0.0
2018/03/18,1012.2,1013.9,1010.0,81,55,1.0,302,5.3,299,0.0
2018/03/19,1008.5,1011.4,1005.2,76,48,1.2,21,6.2,171,0.0
2018/03/20,1007.1,1009.6,1005.3,81,55,1.4,334,7.3,299,0.0
2018/03/21,1010.3,1012.4,1008.3,68,49,1.8,338,9.7,6,0.0
