date,Guanyin_StnPres,Guanyin_StnPresMax,Guanyin_StnPresMin,Guanyin_RH,Guanyin_RHMin,Guanyin_WS,Guanyin_WD,Guanyin_WSGust,Guanyin_WDGust,Guanyin_Precp
2018/01/01,1012.6,1014.7,1010.1,72,58,3.3,57,10.5,47,0.0
2018/01/03,1010.2,1012.4,1007.8,69,52,2.5,58,9.4,111,0.0
2018/01/03,1010.0,1012.4,1007.5,74,49,1.7,75,7.9,91,0.0
2018/01/04,1008.9,1010.8,1007.2,91,73,1.1,4,5.8,351,0.0
2018/01/05,1009.6,1011.7,1007.8,93,88,2.7,40,10.0,52,3.5
2018/01/06,1008.0,1009.5,1005.7,91,80,2.9,49,11.5,74,40.5
2018/01/07,1007.2,1010.1,1004.2,93,84,2.7,101,12.1,123,67.5
2018/01/08,1006.9,1013.5,1003.4,95,91,2.5,28,10.9,71,116.0
2018/01/09,1015.1,1017.2,1012.3,84,66,2.1,35,8.2,26,16.0
2018/01/10,1018.0,1020.0,1016.4,64,41,2.1,34,10.6,26,0.0
2018/01/11,1019.2,1022.0,1017.0,60,43,2.6,42,11.2,45,0.0
2018/01/12,1021.0,1022.5,1019.0,57,47,2.9,61,11.3,54,0.0
2018/01/13,1018.6,1021.3,1016.2,62,42,3.2,59,12.5,73,0.0
2018/01/14,1013.7,1017.4,1011.1,72,49,2.1,31,8.9,34,0.0
2018/01/15,1009.5,1012.4,1007.0,81,48,1.5,28,7.3,22,0.0
2018/01/16,1006.3,1009.0,1004.1,85,64,1.0,43,5.8,217,0.0
2018/01/17,1006.8,1009.3,1004.8,82,56,2.2,58,10.2,23,0.0
2018/01/18,1008.7,1010.7,1007.0,90,78,3.4,39,9.7,24,1.0
2018/01/19,1010.7,1013.2,1009.3,94,88,2.9,34,9.8,22,5.5
2018/01/20,1008.8,1010.6,1006.6,91,81,3.3,34,10.3,15,0.5
2018/01/21,1006.6,1009.4,1004.2,89,68,2.2,30,8.4,71,0.0
2018/01/22,1006.8,1008.5,1004.3,83,69,2.6,42,11.7,53,0.0
,1007.8,--,--,75,--,3.3,30,--,--,0.0
2018/01/24,1008.7,1010.6,1006.2,74,59,3.9,59,12.2,60,0.0
2018/01/25,1008.7,1010.7,1006.4,79,63,3.5,56,10.7,54,0.0
2018/01/26,1011.5,1014.3,1009.0,88,81,4.5,42,15.1,54,1.0
2018/01/27,1008.6,1011.9,1006.1,77,58,2.2,51,11.6,58,0.0
2018/01/28,1008.0,1011.6,1004.6,95,91,2.9,30,12.9,30,13.5
2018/01/29,1012.8,1014.5,1010.9,92,88,4.4,32,12.8,24,15.0
2018/01/30,1012.3,1015.3,1010.1,91,78,3.2,47,11.1,49,9.0
2018/01/31,1011.6,1015.3,1008.6,93,85,3.2,31,12.6,26,33.0
2018/02/01,1014.7,1016.7,1011.9,91,87,3.6,33,11.5,34,10.5
2018/02/02,1015.9,1018.6,1013.0,88,76,3.3,33,12.6,26,7.5
2018/02/03,1018.1,1019.4,1015.8,88,74,3.8,34,12.2,39,24.5
2018/02/04,1018.2,1019.5,1016.3,92,87,3.2,37,11.3,29,40.0
2018/02/05,1018.6,1020.5,1016.6,81,60,2.8,37,9.9,44,26.0
2018/02/06,1016.3,1019.0,1014.3,62,53,3.2,58,11.0,59,0.0
2018/02/07,1012.5,1015.3,1009.6,83,63,2.6,59,9.3,52,8.0
2018/02/08,1010.8,1013.6,1008.3,80,61,3.4,60,11.7,66,6.5
2018/02/09,1008.5,1009.9,1006.7,92,77,1.8,29,6.9,101,1.0
2018/02/10,1010.6,1015.3,1007.9,95,88,3.0,33,12.4,54,10.5
2018/02/11,1016.3,1018.9,1014.1,80,62,3.5,39,11.5,56,4.5
2018/02/12,1018.5,1020.5,1016.4,60,49,3.2,32,12.0,20,0.0
2018/02/13,1014.8,1018.4,1011.8,61,48,2.7,57,9.4,79,0.0
2018/02/14,1011.1,1014.1,1008.1,78,49,1.1,1,4.3,186,0.0
2018/02/15,1008.5,1010.1,1006.5,72,44,1.2,126,6.0,329,0.0
2018/02/16,1007.8,1010.1,1005.8,94,76,1.7,33,8.9,39,0.0
2018/02/17,1009.9,1012.5,1007.6,77,64,3.4,43,13.0,29,0.0
2018/02/18,1009.8,1012.4,1008.1,86,48,1.0,227,6.3,320,0.0
2018/02/19,1008.3,1010.9,1005.0,85,50,0.8,35,8.8,342,0.0
2018/02/20,1007.8,1009.8,1005.4,95,86,2.2,31,7.6,29,0.0
2018/02/21,1008.9,1010.9,1006.7,93,87,3.4,35,11.3,5,1.5
2018/02/22,1011.3,1013.6,1009.0,92,83,4.1,33,11.6,53,39.5
