date,Jian_StnPres,Jian_StnPresMax,Jian_StnPresMin,Jian_RH,Jian_RHMin,Jian_WS,Jian_WD,Jian_WSGust,Jian_WDGust,Jian_Precp
2018/01/01,1020.7,1022.9,1018.6,76,61,3.8,27,10.4,26,0.0
2018/01/02,1020.2,1022.6,1017.9,89,74,3.2,37,8.0,12,0.5
2018/01/03,1019.1,1020.8,1016.9,84,65,3.9,120,7.9,219,0.0
2018/01/04,1015.8,1019.1,1013.1,88,67,3.7,204,8.2,233,0.5
2018/01/05,1014.9,1018.1,1012.2,90,76,5.8,26,16.6,29,0.5
2018/01/06,1016.5,1018.9,1014.3,96,86,2.7,202,5.7,214,22.0
2018/01/07,1016.1,1018.2,1014.2,99,94,3.6,222,11.6,25,29.5
2018/01/08,1012.7,1017.2,1009.8,94,80,4.8,25,17.9,39,6.0
2018/01/09,1020.1,1023.3,1016.5,87,72,5.7,18,16.4,41,15.0
2018/01/10,1023.7,1025.5,1021.6,76,51,3.9,217,9.2,55,2.0
2018/01/11,1024.9,1026.5,1022.7,66,48,5.3,8,16.4,15,0.0
2018/01/12,1026.6,1028.6,1024.5,52,39,6.8,21,18.1,18,0.0
2018/01/13,1026.3,1029.0,1024.0,64,46,4.6,226,12.5,14,0.0
2018/01/14,1021.6,1025.5,1018.4,75,43,4.6,70,8.2,235,0.0
2018/01/15,1017.4,1020.3,1015.0,75,37,4.7,222,10.1,201,0.0
2018/01/16,1013.0,1016.1,1010.6,79,49,4.3,74,9.0,233,0.0
2018/01/17,1014.0,1015.8,1010.9,96,87,3.8,227,8.0,243,0.5
2018/01/18,1015.6,1017.6,1014.2,93,69,4.0,41,8.2,34,0.0
2018/01/19,1016.4,1018.4,1014.7,92,78,4.0,35,13.0,27,2.0
2018/01/20,1015.7,1017.9,1013.6,96,79,3.6,41,7.9,75,0.0
2018/01/21,1013.6,1016.4,1011.3,96,87,3.3,36,7.3,44,0.0
2018/01/22,1012.6,1016.4,1009.9,91,71,4.9,33,14.3,27,0.0
2018/01/23,1014.9,1016.5,1012.4,83,62,4.2,53,9.6,25,0.5
2018/01/24,1016.2,1018.1,1014.4,80,65,5.1,25,12.4,21,0.0
2018/01/25,1015.9,1018.0,1013.9,83,71,4.2,21,10.6,40,0.0
2018/01/26,1017.7,1020.3,1014.6,84,69,7.9,43,18.5,34,0.0
2018/01/27,1017.7,1020.8,1014.9,86,74,3.3,224,9.6,44,1.0
2018/01/28,1012.5,1015.6,1010.2,85,65,6.2,27,18.8,40,1.0
2018/01/29,1017.8,1021.2,1014.1,75,63,7.4,30,18.8,10,1.5
2018/01/30,1019.4,1022.2,1017.1,87,65,3.9,226,9.5,60,2.0
2018/01/31,1016.0,1019.0,1012.6,82,65,5.9,35,19.5,22,0.0
2018/02/01,1019.4,1021.6,1016.5,81,66,6.0,22,19.6,39,0.5
2018/02/02,1020.7,1022.6,1018.4,79,61,7.4,38,19.0,44,0.0
2018/02/03,1022.7,1024.4,1020.9,73,60,4.9,288,15.6,69,0.5
2018/02/04,1023.0,1024.5,1020.6,75,58,4.5,241,13.5,45,0.0
2018/02/05,1023.3,1025.1,1021.2,91,76,3.7,225,7.0,215,3.5
2018/02/06,1022.8,1024.8,1020.8,77,59,4.6,230,12.5,23,0.0
2018/02/07,1020.0,1022.3,1017.8,87,68,4.2,231,8.9,357,9.5
2018/02/08,1019.0,1021.1,1017.0,94,74,3.7,230,7.9,4,6.0
2018/02/09,1015.9,1018.3,1013.3,86,65,3.9,219,7.3,234,0.0
2018/02/10,1015.3,1018.8,1012.7,87,65,5.8,58,14.3,38,0.0
2018/02/11,1021.3,1025.3,1018.1,72,62,7.2,29,17.2,24,0.0
2018/02/12,1025.6,1027.9,1023.5,75,61,5.0,26,13.6,49,2.0
2018/02/13,1024.4,1027.3,1021.2,78,54,3.8,122,7.0,115,2.0
2018/02/14,1019.0,1022.6,1015.6,77,46,4.6,221,11.7,136,0.0
2018/02/15,1015.7,1018.5,1013.2,81,53,4.7,125,9.6,123,0.0
2018/02/16,1013.0,1014.8,1010.7,89,57,5.2,210,11.0,30,0.0
2018/02/17,1017.9,1020.0,1014.7,88,77,7.0,34,18.2,37,2.5
2018/02/18,1017.0,1019.2,1014.9,82,56,4.4,113,8.0,124,0.0
2018/02/19,1015.2,1017.5,1013.0,84,56,4.5,109,9.0,218,0.0
2018/02/20,1013.4,1015.6,1011.7,89,70,4.2,34,9.0,69,0.0
2018/02/21,1013.8,1016.3,1011.2,85,77,6.1,24,16.6,39,0.0
