date,Tanzi_StnPres,Tanzi_StnPresMax,Tanzi_StnPresMin,Tanzi_RH,Tanzi_RHMin,Tanzi_WS,Tanzi_WD,Tanzi_WSGust,Tanzi_WDGust,Tanzi_Precp
2018/01/01,998.9,1001.2,996.6,71,44,0.9,35,5.8,314,0.0
2018/01/02,998.3,1000.5,996.0,78,42,0.5,99,6.1,314,0.0
2018/01/03,998.3,1001.0,996.1,83,52,0.4,28,5.2,332,0.0
2018/01/04,997.1,999.5,995.2,91,67,0.6,307,5.9,307,3.5
2018/01/05,995.6,997.9,993.8,91,79,0.8,6,6.8,311,1.0
2018/01/06,994.9,996.7,993.5,91,77,0.4,316,5.0,17,16.5
2018/01/07,994.2,996.0,992.5,94,75,0.6,41,7.9,25,15.0
2018/01/08,994.5,998.9,991.4,98,86,0.7,31,9.1,267,32.0
2018/01/09,1000.1,1002.6,997.6,94,78,1.3,7,9.7,323,25.5
2018/01/10,1002.7,1005.2,1000.7,60,41,1.3,32,8.4,319,1.0
2018/01/11,1003.7,1005.5,1001.5,56,35,1.5,46,9.1,35,0.0
2018/01/12,1004.8,1006.5,1002.7,51,31,1.3,28,8.0,26,0.0
2018/01/13,1004.0,1006.8,1001.4,58,32,0.8,16,5.7,313,0.0
2018/01/14,1001.1,1004.0,998.5,71,29,0.6,315,6.2,275,0.0
2018/01/15,997.7,1000.5,995.4,82,47,0.7,54,5.6,339,0.0
2018/01/16,994.5,996.6,992.3,69,28,0.5,306,3.4,275,0.0
2018/01/17,994.1,995.8,992.8,71,50,0.7,300,4.5,281,0.0
2018/01/18,995.9,997.9,994.2,84,61,0.7,314,4.2,319,0.0
2018/01/19,996.9,998.8,995.5,86,65,0.9,51,5.2,29,0.5
2018/01/20,995.8,998.0,993.9,86,71,0.8,313,4.5,308,0.0
2018/01/21,994.4,996.0,992.5,88,64,0.8,325,5.2,282,0.0
2018/01/22,993.2,995.1,990.1,84,66,0.9,306,6.0,338,0.0
2018/01/23,994.3,996.0,992.3,77,59,1.0,312,6.7,313,0.0
2018/01/24,994.6,996.6,992.2,72,48,0.9,11,5.7,27,0.0
2018/01/25,995.2,997.0,993.5,78,52,0.9,315,5.5,332,0.0
2018/01/26,996.0,998.3,993.9,78,54,1.6,44,8.2,313,0.0
2018/01/27,995.9,998.0,994.4,79,57,0.8,35,5.5,63,0.0
2018/01/28,994.1,996.0,991.9,90,71,1.2,347,8.0,44,1.0
2018/01/29,996.3,998.8,993.6,89,82,1.3,27,9.0,34,2.5
2018/01/30,998.3,1000.4,996.4,90,78,0.8,316,6.1,18,2.5
2018/01/31,998.0,999.5,996.0,92,75,1.0,305,10.1,23,4.0
2018/02/01,999.1,1001.2,996.9,88,72,1.3,44,8.6,34,2.5
2018/02/02,1001.3,1003.0,999.1,86,70,1.4,34,8.4,32,0.0
2018/02/03,1002.1,1003.6,1000.4,85,77,1.3,29,7.3,32,2.0
2018/02/04,1002.5,1004.0,1001.1,85,80,1.3,38,6.9,333,0.0
2018/02/05,1003.0,1005.1,1001.2,79,69,1.4,38,7.4,32,0.0
2018/02/06,1000.5,1003.4,998.3,65,49,1.2,22,5.8,320,0.0
2018/02/07,998.7,1000.7,996.6,86,72,0.6,6,5.1,284,3.0
2018/02/08,997.0,1000.2,994.7,89,72,0.7,34,5.1,26,4.0
2018/02/09,995.7,997.4,993.8,92,76,0.6,22,5.7,321,0.5
2018/02/10,996.6,999.2,994.4,92,72,1.0,319,7.9,28,0.0
2018/02/11,1000.6,1004.0,998.3,82,65,1.5,48,9.6,42,0.5
2018/02/12,1003.7,1005.6,1001.5,64,39,1.1,18,8.4,18,0.0
2018/02/13,1002.5,1004.5,999.9,65,40,0.8,47,4.9,247,0.0
2018/02/14,999.3,1002.0,996.4,69,31,0.4,272,4.8,242,0.0
2018/02/15,996.7,998.9,994.1,64,31,0.4,4,4.8,318,0.0
2018/02/16,995.0,996.4,993.5,75,51,0.8,311,5.2,307,0.0
2018/02/17,996.1,998.6,994.1,78,54,1.2,301,6.9,340,0.0
2018/02/18,997.9,1000.1,995.8,73,40,0.8,10,5.1,271,0.0
2018/02/19,996.5,999.6,993.8,64,31,0.5,26,6.6,284,0.0
2018/02/20,994.8,997.3,992.5,78,55,0.8,311,5.1,325,0.0
2018/02/21,994.4,996.0,991.9,81,65,1.3,26,8.1,36,0.0
2018/02/22,996.8,999.5,995.1,91,72,1.2,13,8.0,22,12.5
2018/02/23,998.3,1000.2,996.7,80,59,0.9,29,5.1,353,0.0
2018/02/24,999.1,1002.0,997.7,79,52,0.6,5,4.3,283,0.0
2018/02/25,997.8,999.3,996.3,85,64,1.0,25,9.2,49,0.0
2018/02/26,997.7,999.5,995.8,74,51,1.1,15,6.5,18,0.0
2018/02/27,997.2,999.8,995.5,81,70,0.5,18,4.3,281,0.0
2018/02/28,994.0,995.5,992.8,87,60,0.3,58,5.0,285,1.0
2018/03/01,992.7,994.8,991.0,75,37,0.7,72,5.8,280,0.0
2018/03/02,992.8,995.1,991.0,79,53,0.5,6,5.0,333,0.0
2018/03/03,992.0,993.9,990.3,74,54,0.6,258,5.6,248,0.0
2018/03/04,992.8,994.4,991.3,77,61,0.5,81,5.5,281,0.0
2018/03/05,993.8,995.7,991.9,76,51,0.7,5,6.6,13,0.0
2018/03/06,996.9,999.1,994.8,75,59,1.3,16,6.8,21,0.0
2018/03/07,996.4,998.5,993.8,80,56,1.0,316,7.4,351,0.0
2018/03/08,997.3,999.9,994.7,90,85,1.4,8,8.4,32,12.5
2018/03/09,999.5,1001.1,997.7,64,50,1.3,18,7.7,45,0.0
2018/03/10,1000.6,1002.4,999.2,62,34,0.8,4,7.0,328,0.0
2018/03/11,1000.9,1003.0,999.5,66,32,0.6,10,6.1,281,0.0
2018/03/12,998.9,1001.1,996.9,72,33,0.6,46,4.6,279,0.0
2018/03/13,997.3,997.9,995.8,67,24,0.6,42,4.5,282,0.0
2018/03/14,995.8,997.6,994.2,61,36,0.6,82,4.6,251,0.0
2018/03/15,994.3,995.8,992.6,76,40,0.5,8,6.6,313,20.5
2018/03/16,995.0,997.1,991.7,81,57,1.0,31,7.3,7,0.5
2018/03/17,997.3,999.1,995.4,80,57,1.0,38,5.9,339,0.0
2018/03/18,996.2,997.9,994.8,82,49,0.6,19,5.5,315,0.0
2018/03/19,992.6,995.1,989.2,73,50,0.6,80,4.8,271,0.0
2018/03/20,991.8,994.8,989.8,87,68,1.0,38,7.4,9,8.0
2018/03/21,995.2,997.3,994.1,68,48,1.5,36,8.6,353,0.0
2018/03/22,995.5,997.1,993.9,49,32,1.1,44,6.5,276,0.0
2018/03/23,998.1,999.6,996.6,48,15,0.9,318,7.3,263,0.0
2018/03/24,999.4,1002.0,997.4,54,19,0.6,2,6.9,305,0.0
2018/03/25,999.1,1001.2,997.6,59,26,0.7,76,5.3,302,0.0
2018/03/26,997.7,1000.1,996.0,72,47,0.8,305,6.9,8,0.0
2018/03/27,995.5,997.6,993.8,73,55,0.8,23,7.3,303,0.0
2018/03/28,993.9,995.8,992.0,75,48,0.8,299,6.5,325,0.0
2018/03/29,993.7,995.5,992.5,79,55,0.7,310,4.7,291,0.0
2018/03/30,993.7,996.3,992.2,67,42,0.7,36,6.7,271,0.0
2018/03/31,993.1,995.2,991.0,66,43,0.7,90,5.5,315,0.0
2018/04/01,993.0,995.2,991.6,70,49,0.6,17,5.5,260,0.0
2018/04/02,993.4,994.9,992.2,70,51,0.6,61,4.5,281,0.0
2018/04/03,994.2,996.0,992.6,71,48,0.6,69,5.3,293,0.0
2018/04/04,993.3,995.2,991.9,71,51,0.7,322,5.3,285,0.0
2018/04/05,992.2,994.1,990.8,68,47,0.7,64,5.6,294,0.0
2018/04/06,994.1,998.5,990.8,67,52,1.4,15,11.4,53,0.0
2018/04/07,999.9,1001.8,997.1,53,38,1.3,41,7.5,23,0.0
2018/04/08,999.1,1000.8,997.7,53,35,0.8,49,6.0,245,0.0
2018/04/09,997.8,999.8,995.8,64,32,0.7,261,5.2,298,0.0
2018/04/10,995.3,997.7,993.2,56,23,0.6,307,5.0,245,0.0
2018/04/11,992.6,994.9,990.3,68,46,0.6,93,5.1,311,0.0
2018/04/12,992.2,993.6,990.8,74,50,0.6,61,4.9,281,3.0
2018/04/13,993.0,995.1,991.0,72,51,0.8,271,5.5,329,0.0
2018/04/14,991.7,993.5,990.0,76,52,0.8,162,6.1,339,0.0
2018/04/15,992.3,994.5,990.6,78,56,1.2,6,9.0,312,1.5
2018/04/16,994.2,996.4,992.5,78,54,0.9,320,5.8,325,6.0
2018/04/17,995.9,997.9,994.2,85,64,1.0,37,5.7,318,12.5
2018/04/18,994.8,997.0,993.3,74,53,0.7,314,5.0,276,0.0
2018/04/19,994.3,996.1,993.3,74,56,0.6,313,4.3,336,0.0
2018/04/20,994.3,995.8,992.5,72,41,0.7,1,5.2,311,0.0
2018/04/21,993.6,995.1,992.2,75,47,0.6,302,4.9,269,0.0
2018/04/22,992.0,993.9,990.3,68,50,0.5,59,5.6,269,0.0
2018/04/23,989.7,991.3,987.5,68,48,0.7,61,5.4,238,0.0
2018/04/24,989.7,991.0,988.5,77,67,0.8,256,5.2,13,0.0
2018/04/25,991.4,993.0,990.0,72,54,1.1,31,6.3,306,0.0
2018/04/26,992.9,994.9,990.6,71,48,0.7,319,4.9,9,0.0
2018/04/27,994.8,996.4,992.9,73,52,0.9,258,5.5,330,0.0
2018/04/28,994.5,996.3,992.5,76,59,0.6,1,3.5,341,0.0
2018/04/29,993.4,995.1,991.7,72,54,0.7,257,5.2,273,0.0
2018/04/30,993.7,995.7,992.3,72,51,0.6,300,4.8,281,0.0
2018/05/01,993.1,995.4,991.7,74,55,0.8,247,5.4,317,0.0
2018/05/02,992.7,994.7,991.1,72,48,0.9,16,5.4,252,0.0
2018/05/03,994.3,996.0,992.9,71,49,1.2,346,8.3,333,0.0
2018/05/04,995.6,997.4,994.1,72,56,0.6,323,4.1,334,0.5
2018/05/05,996.2,998.2,994.5,64,47,0.8,254,4.9,275,0.0
2018/05/06,992.5,995.7,990.1,65,44,0.9,257,6.3,262,0.0
2018/05/07,989.5,991.6,987.8,70,51,0.8,247,7.1,245,0.0
2018/05/08,989.8,992.2,987.3,84,57,0.7,16,6.4,13,50.0
2018/05/09,993.9,996.3,990.7,92,82,0.6,52,4.3,313,59.0
2018/05/10,994.9,996.9,993.2,72,49,1.1,326,6.6,315,0.0
2018/05/11,993.8,996.0,992.0,73,55,0.6,299,5.5,299,0.0
2018/05/12,992.1,994.1,990.3,73,55,0.5,54,4.1,267,0.0
2018/05/13,991.5,993.0,990.1,74,56,0.7,250,5.7,273,0.0
2018/05/14,991.3,993.3,989.4,71,46,0.6,255,5.0,289,0.0
2018/05/15,990.8,993.0,989.5,72,50,1.0,256,5.1,309,0.0
2018/05/16,989.8,991.9,988.6,76,51,0.8,252,6.5,256,0.0
2018/05/17,989.1,991.0,987.8,74,51,0.9,220,6.0,248,0.0
2018/05/18,988.5,990.4,987.2,72,47,0.9,251,6.4,268,0.0
2018/05/19,989.0,990.7,987.5,71,46,0.8,255,5.1,327,0.0
2018/05/20,989.9,991.7,987.0,72,52,0.8,257,4.9,323,0.0
2018/05/21,990.7,992.3,988.4,72,51,0.7,60,4.8,330,0.0
2018/05/22,991.0,993.3,989.2,67,45,0.7,302,4.8,336,0.0
2018/05/23,990.7,992.3,989.2,71,53,0.9,311,7.9,327,0.0
2018/05/24,990.5,992.6,989.4,69,46,0.9,294,4.8,288,0.0
2018/05/25,989.1,991.4,986.9,67,52,0.8,255,6.2,283,0.0
2018/05/26,989.1,991.0,987.8,68,47,1.0,257,6.4,268,0.0
2018/05/27,989.7,991.6,987.5,65,44,0.9,254,6.5,251,0.0
2018/05/28,989.8,991.3,988.2,68,41,0.9,306,5.8,308,0.0
2018/05/29,991.0,992.6,989.1,70,50,0.9,74,5.5,307,0.0
2018/05/30,991.2,992.6,989.2,69,50,0.9,248,7.1,326,0.0
2018/05/31,990.9,992.3,989.5,70,52,0.9,62,6.1,276,0.0
2018/06/01,990.5,992.0,988.9,74,52,1.0,312,6.5,264,0.0
2018/06/02,990.5,991.9,988.9,71,51,1.0,321,6.3,333,0.0
2018/06/03,989.3,990.8,987.3,72,48,0.8,282,6.0,310,0.0
2018/06/04,989.4,990.8,987.8,68,46,0.7,38,5.6,322,0.0
2018/06/05,990.0,991.9,988.4,68,50,0.7,322,5.8,324,0.0
2018/06/06,989.2,990.4,987.5,69,43,1.1,62,6.7,322,0.0
2018/06/07,987.5,988.8,985.3,75,54,0.8,304,5.6,278,0.0
2018/06/08,983.9,986.9,981.8,69,48,0.8,297,6.3,263,0.0
2018/06/09,981.2,982.6,979.0,74,53,0.8,64,5.9,292,0.0
2018/06/10,980.9,982.1,979.3,71,53,0.7,258,5.3,282,0.0
2018/06/11,981.7,984.3,979.3,80,63,0.8,17,6.8,40,12.0
2018/06/12,983.3,985.3,981.4,63,41,0.8,311,6.1,327,0.0
2018/06/13,979.9,982.4,977.7,58,43,0.7,26,6.0,347,0.0
2018/06/14,976.7,978.4,974.8,72,52,0.9,40,7.5,306,1.0
2018/06/15,978.2,982.8,975.6,74,54,1.4,40,11.5,71,0.5
2018/06/16,983.5,985.8,981.7,64,40,1.1,16,7.0,282,19.5
2018/06/17,984.3,985.5,983.1,88,54,0.5,44,4.9,325,28.5
2018/06/18,984.2,985.9,983.3,86,67,0.2,78,4.4,280,6.5
2018/06/19,986.0,988.2,983.1,94,77,0.4,223,7.4,256,49.5
