date,Taoyuan_StnPres,Taoyuan_StnPresMax,Taoyuan_StnPresMin,Taoyuan_RH,Taoyuan_RHMin,Taoyuan_WS,Taoyuan_WD,Taoyuan_WSGust,Taoyuan_WDGust,Taoyuan_Precp
2018/01/01,1009.4,1011.3,1006.9,72,61,2.1,105,8.6,94,0.0
2018/01/02,1007.2,1009.4,1004.6,69,51,2.3,113,7.9,106,0.0
,1006.8,--,--,67,--,1.4,114,--,--,0.0
2018/01/04,1005.6,1007.6,1003.6,83,69,0.4,112,5.2,91,0.0
2018/01/05,1006.3,1008.4,1004.5,89,82,0.6,116,7.1,98,2.0
2018/01/06,1004.6,1006.0,1002.1,90,83,2.3,114,8.1,78,24.5
2018/01/07,1004.1,1007.5,1001.2,93,88,0.9,112,5.7,109,80.0
2018/01/08,1003.7,1010.2,1000.4,94,90,0.1,110,4.4,80,102.0
2018/01/09,1011.8,1014.0,1009.1,87,71,0.3,128,4.6,130,20.5
2018/01/10,1014.7,1016.7,1012.9,65,35,0.2,124,4.8,126,0.0
2018/01/11,1016.1,1019.0,1013.7,61,43,0.5,113,6.3,114,0.0
2018/01/12,1018.0,1019.3,1015.7,59,42,0.6,117,6.6,106,0.0
2018/01/13,1015.6,1018.1,1013.2,60,43,1.3,115,9.2,98,0.0
2018/01/15,1010.3,1014.2,1007.4,67,48,1.2,113,6.1,107,0.0
2018/01/15,1006.2,1009.2,1003.4,68,44,0.5,110,4.8,86,0.0
2018/01/16,1003.1,1005.9,1000.9,77,52,0.0,0,2.7,255,0.0
2018/01/17,1003.5,1006.0,1001.7,76,44,1.1,112,7.3,96,0.0
2018/01/18,1005.4,1007.6,1003.5,82,71,1.7,112,8.2,118,0.0
2018/01/19,1007.4,1010.0,1005.9,91,87,0.6,110,6.2,79,9.5
2018/01/20,1005.3,1006.9,1003.1,86,74,1.5,113,6.2,102,0.5
2018/01/21,1003.2,1006.4,1000.7,84,72,1.3,107,7.6,88,0.0
2018/01/22,1003.5,1005.4,1001.1,81,65,1.0,109,7.5,118,0.5
2018/01/23,1004.4,1006.4,1002.1,70,55,1.7,113,7.8,120,0.0
2018/01/24,1005.5,1007.5,1002.6,74,59,2.1,106,9.4,107,0.0
2018/01/25,1005.2,1007.6,1002.6,78,65,2.0,108,9.1,113,0.0
,1008.3,--,--,80,--,1.5,113,--,--,1.5
2018/01/27,1005.3,1008.7,1002.7,74,60,2.0,110,11.3,118,0.0
2018/01/28,1004.7,1008.3,1001.3,92,77,0.1,82,6.0,125,13.0
2018/01/29,1009.6,1011.5,1007.5,91,86,0.5,108,6.9,128,14.5
2018/01/30,1009.1,1012.1,1006.8,91,79,1.3,111,7.4,55,7.5
,1008.1,--,--,91,--,0.8,114,--,--,32.0
2018/02/01,1011.4,1013.5,1008.7,91,86,0.4,122,6.6,131,6.0
2018/02/02,1012.6,1015.2,1009.7,91,83,0.3,114,5.8,137,5.5
,1014.9,--,--,91,--,0.2,114,--,--,24.5
,1015.0,--,--,94,--,0.1,121,--,--,21.5
2018/02/05,1015.4,1017.2,1013.6,91,87,0.1,116,3.9,127,14.0
2018/02/06,1013.3,1015.8,1011.5,69,57,0.7,98,5.7,101,0.0
2018/02/07,1009.2,1012.2,1006.1,82,64,1.7,107,6.9,74,10.0
2018/02/08,1007.6,1010.4,1005.1,83,66,1.8,106,8.8,113,9.0
2018/02/09,1005.3,1007.0,1003.1,94,86,0.3,108,6.2,97,4.5
2018/02/10,1007.2,1011.8,1004.4,95,91,0.1,102,7.3,129,4.0
2018/02/11,1013.2,1015.7,1010.9,84,69,0.6,114,6.7,134,4.0
2018/02/12,1015.3,1017.3,1013.3,58,42,1.2,108,6.7,85,0.0
2018/02/13,1011.7,1015.3,1008.7,59,47,1.8,103,7.4,75,0.0
2018/02/14,1007.9,1011.0,1005.3,68,41,0.1,117,2.8,257,0.0
2018/02/15,1005.2,1007.1,1003.0,65,33,0.1,102,3.9,280,0.0
2018/02/16,1004.4,1006.8,1002.6,83,61,0.1,268,5.0,253,0.0
2018/02/17,1006.7,1009.4,1003.8,74,63,2.2,113,9.8,112,0.0
2018/02/18,1006.5,1009.1,1004.9,73,40,0.2,266,4.2,82,0.0
2018/02/19,1005.1,1007.9,1001.8,71,43,0.1,274,3.4,276,0.0
2018/02/20,1004.4,1006.1,1001.6,85,70,0.1,109,4.0,278,0.0
2018/02/21,1005.5,1007.4,1003.5,87,72,0.6,114,6.6,128,0.0
2018/02/22,1007.9,1010.3,1005.7,91,81,0.3,106,7.6,98,27.0
2018/02/23,1008.6,1010.6,1006.2,79,66,1.8,110,9.1,90,0.5
2018/02/24,1008.1,1011.6,1006.9,84,76,0.1,108,3.5,132,0.0
2018/02/25,1008.6,1011.3,1006.0,91,88,0.1,111,4.4,124,2.5
2018/02/26,1008.9,1011.0,1006.8,76,58,1.7,112,9.0,111,0.5
2018/02/27,1005.7,1007.6,1004.0,76,54,0.4,113,5.7,94,0.0
2018/02/28,1002.3,1004.1,1001.4,91,78,0.0,246,4.2,356,13.0
2018/03/01,1001.2,1001.3,998.2,79,58,1.4,116,7.6,108,0.0
2018/03/02,1000.5,1002.6,998.7,78,61,0.3,117,4.3,84,0.0
2018/03/03,999.5,1001.2,997.5,84,64,0.1,271,3.2,292,0.0
2018/03/04,1000.2,1001.7,997.2,81,65,0.1,269,3.4,110,0.0
2018/03/05,1002.2,1007.9,999.0,85,62,0.3,109,5.4,298,1.0
2018/03/06,1008.0,1010.2,1006.2,78,67,1.6,116,8.1,109,0.0
2018/03/07,1004.9,1007.7,1001.2,78,55,0.9,112,8.8,114,1.0
2018/03/08,1009.0,1013.2,1003.8,87,73,0.6,120,6.6,136,20.5
2018/03/09,1011.6,1012.9,1010.3,61,41,1.2,116,8.7,119,0.0
2018/03/10,1010.2,1012.0,1008.1,57,38,1.7,118,7.8,112,0.0
2018/03/11,1008.8,1010.8,1007.0,50,31,1.4,118,6.8,112,0.0
2018/03/12,1006.9,1008.8,1005.0,59,28,0.2,92,4.2,91,0.0
2018/03/13,1005.3,1007.3,1003.6,70,43,0.2,270,4.1,285,0.0
2018/03/14,1003.8,1005.9,1002.0,71,26,0.1,105,3.8,52,0.0
2018/03/15,1002.5,1004.2,1000.9,78,53,0.2,274,3.7,288,3.0
2018/03/16,1004.3,1008.3,999.8,80,61,0.6,115,6.1,124,0.0
2018/03/17,1006.5,1008.8,1004.4,77,62,1.8,117,8.2,109,0.0
2018/03/18,1004.0,1005.7,1002.5,78,47,0.2,99,5.0,244,0.0
2018/03/20,1000.3,1002.9,996.8,75,47,0.1,112,4.8,239,0.0
2018/03/20,1000.6,1004.6,997.5,90,82,0.3,95,10.1,74,21.5
2018/03/21,1005.5,1007.6,1003.5,69,56,0.2,119,5.4,266,0.0
2018/03/22,1005.8,1008.1,1003.9,59,39,1.0,120,5.8,84,0.5
2018/03/23,1007.2,1008.4,1005.8,49,19,0.8,116,4.7,114,0.0
2018/03/24,1007.4,1009.3,1005.1,56,34,1.2,117,6.8,105,0.0
2018/03/25,1007.0,1009.2,1005.5,55,38,1.1,111,5.1,106,0.0
2018/03/26,1005.7,1007.6,1004.3,65,42,0.4,92,4.9,301,0.0
2018/03/27,1004.3,1005.7,1003.2,77,61,0.2,51,4.8,137,0.5
