date,Xinzhuang_StnPres,Xinzhuang_StnPresMax,Xinzhuang_StnPresMin,Xinzhuang_RH,Xinzhuang_RHMin,Xinzhuang_WS,Xinzhuang_WD,Xinzhuang_WSGust,Xinzhuang_WDGust,Xinzhuang_Precp
2018/01/01,1018.7,1020.8,1016.5,68,60,2.9,60,11.9,60,0.0
2018/01/02,1016.6,1019.0,1013.9,66,51,2.7,59,10.6,78,0.0
2018/01/03,1015.8,1017.9,1013.6,64,50,2.5,57,8.7,65,0.0
2018/01/04,1013.6,1015.4,1011.3,74,57,1.8,59,7.4,257,0.0
2018/01/05,1014.6,1016.3,1012.3,83,75,2.0,60,9.8,64,2.0
2018/01/06,1014.0,1016.1,1011.4,86,83,2.7,60,11.4,52,28.5
2018/01/07,1012.8,1035.3,1009.5,87,72,1.1,56,8.0,59,67.5
2018/01/08,1011.7,1018.3,1008.5,87,80,1.1,56,7.7,67,73.5
2018/01/09,1020.2,1022.4,1017.2,73,55,1.3,44,7.6,67,17.0
2018/01/10,1023.1,1025.0,1021.2,56,31,1.1,8,8.5,68,0.0
2018/01/11,1024.7,1027.6,1022.1,53,42,1.4,43,9.4,59,0.0
2018/01/12,1026.7,1028.1,1024.5,50,41,1.6,30,10.7,71,0.0
2018/01/13,1024.6,1026.8,1022.1,55,41,2.2,57,12.0,62,0.0
2018/01/15,1019.0,1023.1,1015.8,66,49,1.8,58,8.7,56,0.0
,1015.2,--,--,68,--,1.7,59,--,--,0.0
2018/01/16,1011.2,1014.0,1008.8,67,33,0.8,243,5.8,247,0.0
2018/01/17,1012.2,1014.3,1009.9,71,47,1.9,60,10.2,73,0.0
2018/01/18,1014.2,1016.2,1012.4,83,73,2.7,60,9.2,67,0.0
2018/01/19,1015.8,1018.4,1014.4,87,82,1.9,59,7.9,66,12.5
2018/01/20,1014.0,1016.0,1011.5,85,78,2.6,57,8.8,62,3.0
2018/01/21,1011.8,1015.2,1009.2,83,73,2.1,60,8.0,58,0.0
2018/01/22,1012.0,1014.1,1009.5,76,62,2.6,56,10.5,52,1.0
2018/01/23,1013.2,1014.9,1010.4,69,59,2.7,57,10.6,66,0.0
2018/01/24,1014.9,1016.5,1012.6,75,62,3.1,59,12.4,60,0.0
2018/01/25,1014.5,1016.8,1012.0,80,69,3.2,62,10.1,69,0.0
2018/01/26,1017.0,1019.6,1014.2,81,72,2.9,58,10.8,63,0.0
2018/01/27,1014.5,1018.3,1011.4,74,64,2.6,60,10.3,72,0.0
2018/01/28,1012.6,1016.5,1009.1,82,66,1.5,57,12.1,108,11.0
2018/01/29,1018.2,1020.3,1015.6,81,75,2.3,58,8.8,68,9.0
2018/01/30,1018.1,1020.9,1015.6,84,76,2.5,61,9.3,60,10.0
2018/01/31,1016.6,1020.0,1013.2,85,77,2.0,60,7.2,79,16.0
2018/02/01,1019.8,1021.8,1017.5,80,73,1.5,56,9.1,82,2.0
2018/02/02,1020.9,1023.5,1018.2,81,71,1.9,58,8.5,74,2.0
2018/02/03,1023.2,1024.4,1021.1,80,74,1.2,55,7.3,73,22.0
2018/02/04,1023.4,1024.6,1021.7,83,77,1.1,57,6.5,71,26.0
2018/02/05,1023.8,1025.6,1022.0,81,73,0.5,21,4.4,67,14.5
2018/02/07,1022.0,1024.2,1020.2,58,49,1.7,54,7.5,72,0.0
,1018.3,--,--,78,--,2.6,67,--,--,16.0
2018/02/08,1016.9,1019.1,1014.7,79,62,2.8,62,9.4,47,10.0
2018/02/09,1013.6,1015.6,1011.2,87,72,1.2,59,6.1,57,5.5
2018/02/10,1015.3,1020.0,1012.5,87,76,1.0,57,6.2,61,4.0
2018/02/11,1021.7,1024.4,1019.7,78,59,1.4,54,7.6,85,4.5
2018/02/12,1024.1,1026.2,1022.0,53,41,2.1,61,9.5,70,0.0
2018/02/14,1021.0,1024.3,1017.8,57,48,2.5,60,10.7,71,0.0
2018/02/14,1016.1,1019.2,1013.2,61,31,0.8,54,5.9,254,0.0
