date,Zhunan_StnPres,Zhunan_StnPresMax,Zhunan_StnPresMin,Zhunan_RH,Zhunan_RHMin,Zhunan_WS,Zhunan_WD,Zhunan_WSGust,Zhunan_WDGust,Zhunan_Precp
2018/01/01,1016.0,1018.2,1013.3,69,50,2.2,37,9.7,32,0.0
2018/01/02,1014.6,1016.9,1012.1,78,53,0.7,4,6.3,352,0.0
2018/01/03,1014.6,1017.2,1012.5,85,69,0.7,137,5.1,321,0.0
2018/01/04,1013.6,1015.8,1011.3,92,83,1.4,17,7.3,40,0.5
2018/01/05,1013.3,1015.6,1011.9,88,80,2.8,31,10.8,40,0.5
2018/01/06,1011.7,1013.1,1010.0,88,76,1.7,20,7.5,38,28.5
2018/01/07,1011.3,1014.1,1008.4,93,87,0.9,102,8.1,41,43.5
2018/01/08,1011.1,1017.6,1007.9,94,86,1.7,164,10.5,42,85.0
2018/01/09,1019.0,1021.5,1016.0,86,71,2.3,45,9.7,13,19.5
2018/01/10,1021.6,1023.8,1019.9,58,41,3.3,32,11.2,42,0.0
2018/01/11,1022.6,1025.3,1020.3,54,42,3.9,30,12.1,41,0.0
2018/01/12,1024.2,1025.7,1022.0,52,39,4.6,34,13.5,47,0.0
2018/01/13,1021.8,1024.3,1018.7,58,40,3.2,32,11.9,44,0.0
2018/01/14,1018.0,1021.2,1015.1,75,37,1.3,4,9.8,5,0.0
2018/01/15,1014.2,1016.9,1011.7,83,54,1.4,2,9.4,1,0.0
2018/01/16,1010.8,1013.5,1008.5,80,51,0.7,6,4.2,172,0.0
2018/01/17,1010.7,1013.0,1009.2,81,56,1.5,21,9.2,354,0.0
2018/01/18,1012.5,1014.3,1011.0,87,67,2.2,17,9.3,4,0.0
2018/01/19,1014.3,1016.8,1012.4,90,84,3.1,32,9.2,45,4.5
2018/01/20,1012.7,1014.6,1010.7,87,77,2.9,16,9.0,43,0.0
2018/01/21,1010.7,1013.0,1008.4,86,69,2.0,20,8.2,356,0.0
2018/01/22,1010.5,1012.5,1007.5,83,67,2.7,32,12.0,37,2.0
2018/01/23,1011.6,1012.9,1009.4,75,64,2.9,18,11.4,15,0.0
2018/01/24,1011.7,1013.7,1009.1,69,54,2.7,38,9.8,41,0.0
2018/01/25,1012.3,1013.9,1010.2,78,58,2.7,16,9.8,5,0.0
2018/01/26,1014.4,1017.2,1012.9,80,67,4.8,28,13.2,41,0.0
2018/01/27,1012.5,1015.0,1010.6,75,53,1.8,40,9.6,37,0.0
2018/01/28,1012.1,1014.9,1009.1,92,87,3.2,1,11.7,49,1.5
2018/01/29,1015.6,1017.4,1013.4,88,80,5.1,31,13.4,46,3.5
2018/01/30,1015.8,1018.8,1013.9,86,68,2.2,30,11.6,46,2.0
2018/01/31,1015.6,1018.9,1012.7,90,75,3.1,21,11.1,6,13.0
2018/02/01,1018.1,1020.6,1015.3,87,77,4.4,32,11.9,41,3.0
2018/02/03,1019.7,1022.2,1016.4,86,76,3.7,32,12.2,47,0.5
2018/02/03,1021.4,1022.6,1019.3,84,74,5.1,30,12.3,10,2.0
2018/02/04,1021.6,1022.8,1019.6,86,78,4.4,32,11.9,45,1.0
2018/02/05,1022.4,1024.6,1020.7,84,68,3.3,40,11.4,31,3.5
2018/02/06,1019.3,1022.4,1016.6,61,52,4.4,37,13.4,39,0.0
2018/02/07,1016.1,1018.2,1013.4,82,62,1.3,46,8.7,25,3.5
2018/02/08,1014.6,1017.8,1012.1,81,60,1.9,40,9.0,42,3.5
2018/02/09,1012.9,1014.3,1010.9,93,81,1.1,29,7.4,33,2.0
2018/02/10,1014.5,1018.8,1011.6,93,84,3.1,29,12.2,40,1.0
2018/02/11,1019.6,1022.4,1017.5,78,67,4.6,31,12.4,38,1.0
2018/02/12,1022.0,1023.9,1020.0,60,46,3.5,37,12.7,9,0.0
2018/02/13,1019.1,1022.2,1016.3,63,39,0.8,18,4.6,312,0.0
2018/02/14,1015.8,1018.7,1012.7,78,46,0.8,4,4.3,329,0.0
2018/02/15,1012.9,1015.0,1010.7,74,46,0.8,14,6.1,359,0.0
2018/02/16,1011.9,1013.6,1010.0,86,72,1.6,6,9.0,55,0.0
2018/02/17,1013.3,1015.2,1011.1,75,59,3.4,32,13.1,42,0.0
2018/02/18,1014.4,1017.0,1012.5,85,69,1.2,5,8.4,313,0.0
2018/02/19,1012.7,1015.5,1009.6,78,42,0.6,23,6.9,347,0.0
2018/02/20,1011.9,1013.9,1009.4,87,75,2.0,3,9.3,349,0.0
2018/02/21,1012.6,1014.6,1010.3,88,82,3.8,32,10.1,36,0.0
2018/02/22,1015.1,1017.5,1012.9,91,82,3.9,35,10.7,17,22.0
2018/02/23,1015.8,1017.4,1013.6,78,60,2.5,35,9.4,32,0.0
2018/02/24,1015.9,1019.4,1014.4,90,82,0.7,9,7.2,45,0.0
2018/02/25,1015.9,1018.2,1013.5,91,86,2.6,39,10.2,34,2.5
2018/02/26,1015.5,1017.6,1013.4,76,58,3.1,32,11.7,29,0.0
2018/02/27,1013.7,1015.6,1011.9,86,68,0.9,2,6.3,308,0.0
2018/03/01,1009.9,1011.9,1008.6,92,81,0.7,132,9.4,282,4.5
2018/03/01,1008.9,1011.3,1006.7,86,71,0.9,349,7.5,7,0.0
2018/03/02,1009.0,1011.5,1007.4,90,78,1.1,25,4.8,354,0.0
2018/03/03,1007.7,1009.8,1005.3,90,75,0.9,286,7.0,296,0.0
2018/03/04,1008.3,1010.1,1004.3,87,64,0.9,33,9.0,6,0.0
2018/03/05,1009.9,1014.5,1007.3,87,65,2.6,33,12.5,7,0.0
2018/03/06,1015.1,1017.3,1013.7,80,74,4.1,33,12.0,44,0.0
2018/03/07,1013.3,1015.7,1010.2,83,69,2.4,3,9.7,3,0.0
2018/03/08,1016.3,1019.6,1016.7,88,78,3.2,48,10.6,42,13.5
2018/03/09,1017.6,1018.8,1016.3,62,47,4.7,35,14.1,47,0.0
2018/03/10,1017.2,1018.8,1015.4,60,40,2.7,15,9.7,39,0.0
2018/03/11,1016.7,1018.7,1015.4,68,34,0.8,125,6.5,15,0.0
2018/03/12,1014.6,1016.6,1012.8,76,52,0.9,341,6.4,3,0.0
2018/03/13,1013.0,1015.1,1011.5,84,60,0.7,1,5.5,349,0.0
2018/03/14,1011.4,1013.5,1009.5,83,63,0.7,5,5.3,339,0.0
2018/03/15,1010.0,1011.8,1008.8,83,57,0.8,8,9.8,11,7.0
2018/03/16,1011.3,1014.4,1006.7,83,60,2.3,27,9.5,36,0.5
2018/03/17,1013.7,1015.7,1011.6,80,67,3.1,32,9.9,30,0.0
2018/03/18,1011.8,1013.7,1010.3,87,68,0.8,331,6.2,279,0.0
2018/03/19,1007.9,1010.5,1004.4,83,58,0.9,2,7.4,288,0.0
2018/03/20,1008.2,1012.2,1004.9,92,84,1.7,24,11.5,24,23.0
2018/03/21,1012.8,1014.4,1011.3,72,59,1.6,52,8.4,39,0.0
2018/03/22,1012.8,1014.2,1011.0,60,41,2.0,44,10.1,7,0.0
2018/03/23,1014.4,1015.6,1013.0,61,29,1.4,34,8.4,27,0.0
2018/03/24,1015.1,1017.4,1013.0,58,26,0.8,4,5.5,332,0.0
2018/03/25,1014.7,1016.6,1013.4,69,42,0.7,137,5.0,318,0.0
2018/03/26,1013.4,1015.2,1012.2,78,61,0.9,2,7.5,302,0.0
2018/03/27,1011.7,1013.5,1010.4,79,67,1.8,6,9.6,7,0.0
2018/03/28,1009.8,1011.6,1008.2,83,69,1.7,1,9.9,360,0.0
2018/03/29,1009.2,1010.7,1007.7,80,60,0.8,326,5.9,352,0.0
2018/03/30,1009.3,1011.4,1007.5,64,41,1.8,36,11.0,37,0.0
2018/03/31,1008.4,1010.8,1005.6,60,35,1.2,14,9.4,327,0.0
2018/04/01,1008.5,1010.6,1007.3,73,58,0.7,151,5.6,336,0.0
2018/04/02,1008.9,1010.2,1007.8,82,71,0.8,290,6.4,284,0.0
2018/04/03,1009.8,1011.1,1008.5,79,61,0.8,132,6.4,306,0.0
2018/04/04,1009.0,1010.8,1007.5,76,55,0.8,7,6.5,322,0.0
2018/04/05,1007.8,1009.3,1006.3,78,66,0.9,17,6.0,322,0.0
2018/04/06,1011.8,1018.4,1006.3,76,55,2.9,38,14.0,45,0.0
2018/04/07,1018.4,1020.5,1016.8,60,36,2.3,34,12.0,29,0.0
2018/04/08,1015.1,1017.9,1013.3,55,35,0.7,283,5.9,279,0.0
2018/04/09,1013.8,1015.7,1011.8,73,52,1.0,349,6.1,7,0.0
2018/04/10,1010.9,1013.2,1008.7,66,30,0.7,136,5.1,288,0.0
2018/04/11,1008.0,1010.3,1005.9,78,62,0.7,3,5.9,275,0.0
2018/04/12,1007.4,1009.1,1005.6,84,70,0.7,147,9.2,296,5.0
2018/04/13,1008.3,1010.2,1006.4,83,66,0.6,115,5.4,265,0.0
2018/04/14,1006.3,1007.9,1004.2,83,73,1.2,192,10.2,287,2.0
2018/04/15,1010.0,1012.4,1006.5,80,69,3.3,32,11.0,46,10.5
2018/04/16,1011.2,1013.3,1009.3,70,55,2.1,46,7.9,41,7.5
2018/04/17,1013.2,1015.5,1011.7,80,64,1.8,49,7.6,35,8.5
2018/04/18,1011.0,1012.8,1009.3,73,58,1.3,37,8.7,1,0.0
2018/04/19,1010.0,1011.7,1009.0,77,60,0.8,342,6.0,343,0.0
2018/04/20,1009.9,1011.3,1008.2,79,65,0.6,140,4.3,345,0.0
2018/04/21,1009.1,1010.4,1007.8,80,68,0.6,331,5.2,293,0.0
2018/04/22,1007.5,1009.2,1005.7,81,54,0.8,330,5.4,327,0.0
2018/04/24,1004.8,1006.6,1002.5,74,57,0.9,136,6.5,292,0.0
2018/04/24,1005.4,1008.1,1002.9,85,74,2.0,36,8.6,27,3.0
2018/04/25,1008.6,1010.1,1007.2,68,54,2.2,46,9.1,39,0.0
2018/04/26,1008.9,1010.5,1007.0,70,46,1.0,18,7.6,354,0.0
