date,Table_lamp_business_electricity_sales(kWh)
2018/1/1,238882840
2018/1/2,238882840
2018/1/3,238882840
2018/1/4,238882840
2018/1/5,238882840
2018/1/6,238882840
2018/1/7,238882840
2018/1/8,238882840
2018/1/9,238882840
2018/1/10,238882840
2018/1/11,238882840
2018/1/12,238882840
2018/1/13,238882840
2018/1/14,238882840
2018/1/15,238882840
2018/1/16,238882840
2018/1/17,238882840
2018/1/18,238882840
2018/1/19,238882840
2018/1/20,238882840
2018/1/21,238882840
2018/1/22,238882840
2018/1/23,238882840
2018/1/24,238882840
2018/1/25,238882840
2018/1/26,238882840
2018/1/27,238882840
2018/1/28,238882840
2018/1/29,238882840
2018/1/30,238882840
2018/1/31,238882840
2018/2/1,199934636
2018/2/2,199934636
2018/2/3,199934636
2018/2/4,199934636
2018/2/5,199934636
2018/2/6,199934636
2018/2/7,199934636
2018/2/8,199934636
2018/2/9,199934636
2018/2/10,199934636
2018/2/11,199934636
2018/2/12,199934636
2018/2/13,199934636
2018/2/14,199934636
2018/2/15,199934636
2018/2/16,199934636
2018/2/17,199934636
2018/2/18,199934636
2018/2/19,199934636
2018/2/20,199934636
2018/2/21,199934636
2018/2/22,199934636
2018/2/23,199934636
2018/2/24,199934636
2018/2/25,199934636
2018/2/26,199934636
2018/2/27,199934636
2018/2/28,199934636
2018/3/1,210622934
2018/3/2,210622934
2018/3/3,210622934
2018/3/4,210622934
2018/3/5,210622934
2018/3/6,210622934
2018/3/7,210622934
2018/3/8,210622934
2018/3/9,210622934
2018/3/10,210622934
2018/3/11,210622934
2018/3/12,210622934
2018/3/13,210622934
2018/3/14,210622934
2018/3/15,210622934
2018/3/16,210622934
2018/3/17,210622934
2018/3/18,210622934
2018/3/19,210622934
2018/3/20,210622934
2018/3/21,210622934
2018/3/22,210622934
2018/3/23,210622934
2018/3/24,210622934
2018/3/25,210622934
2018/3/26,210622934
2018/3/27,210622934
2018/3/28,210622934
2018/3/29,210622934
2018/3/30,210622934
2018/3/31,210622934
2018/4/1,201672937
2018/4/2,201672937
2018/4/3,201672937
2018/4/4,201672937
2018/4/5,201672937
2018/4/6,201672937
2018/4/7,201672937
2018/4/8,201672937
2018/4/9,201672937
2018/4/10,201672937
2018/4/11,201672937
2018/4/12,201672937
2018/4/13,201672937
2018/4/14,201672937
2018/4/15,201672937
2018/4/16,201672937
2018/4/17,201672937
2018/4/18,201672937
2018/4/19,201672937
2018/4/20,201672937
2018/4/21,201672937
2018/4/22,201672937
2018/4/23,201672937
2018/4/24,201672937
2018/4/25,201672937
2018/4/26,201672937
2018/4/27,201672937
2018/4/28,201672937
2018/4/29,201672937
2018/4/30,201672937
2018/5/1,244106459
2018/5/2,244106459
2018/5/3,244106459
2018/5/4,244106459
2018/5/5,244106459
2018/5/6,244106459
2018/5/7,244106459
2018/5/8,244106459
2018/5/9,244106459
2018/5/10,244106459
2018/5/11,244106459
2018/5/12,244106459
2018/5/13,244106459
2018/5/14,244106459
2018/5/15,244106459
2018/5/16,244106459
2018/5/17,244106459
2018/5/18,244106459
2018/5/19,244106459
2018/5/20,244106459
2018/5/21,244106459
2018/5/22,244106459
2018/5/23,244106459
2018/5/24,244106459
2018/5/25,244106459
2018/5/26,244106459
2018/5/27,244106459
2018/5/28,244106459
2018/5/29,244106459
2018/5/30,244106459
2018/5/31,244106459
2018/6/1,240170338
2018/6/2,240170338
2018/6/3,240170338
2018/6/4,240170338
2018/6/5,240170338
2018/6/6,240170338
2018/6/7,240170338
2018/6/8,240170338
2018/6/9,240170338
2018/6/10,240170338
2018/6/11,240170338
2018/6/12,240170338
2018/6/13,240170338
2018/6/14,240170338
2018/6/15,240170338
2018/6/16,240170338
2018/6/17,240170338
2018/6/18,240170338
2018/6/19,240170338
2018/6/20,240170338
2018/6/21,240170338
2018/6/22,240170338
2018/6/23,240170338
2018/6/24,240170338
2018/6/25,240170338
2018/6/26,240170338
2018/6/27,240170338
2018/6/28,240170338
2018/6/29,240170338
2018/6/30,240170338
2018/7/1,291605954
2018/7/2,291605954
2018/7/3,291605954
2018/7/4,291605954
2018/7/5,291605954
2018/7/6,291605954
2018/7/7,291605954
2018/7/8,291605954
2018/7/9,291605954
2018/7/10,291605954
2018/7/11,291605954
2018/7/12,291605954
2018/7/13,291605954
2018/7/14,291605954
2018/7/15,291605954
2018/7/16,291605954
2018/7/17,291605954
2018/7/18,291605954
2018/7/19,291605954
2018/7/20,291605954
2018/7/21,291605954
2018/7/22,291605954
2018/7/23,291605954
2018/7/24,291605954
2018/7/25,291605954
2018/7/26,291605954
2018/7/27,291605954
2018/7/28,291605954
2018/7/29,291605954
2018/7/30,291605954
2018/7/31,291605954
2018/8/1,271910357
2018/8/2,271910357
2018/8/3,271910357
2018/8/4,271910357
2018/8/5,271910357
2018/8/6,271910357
2018/8/7,271910357
2018/8/8,271910357
2018/8/9,271910357
2018/8/10,271910357
2018/8/11,271910357
2018/8/12,271910357
2018/8/13,271910357
2018/8/14,271910357
2018/8/15,271910357
2018/8/16,271910357
2018/8/17,271910357
2018/8/18,271910357
2018/8/19,271910357
2018/8/20,271910357
2018/8/21,271910357
2018/8/22,271910357
2018/8/23,271910357
2018/8/24,271910357
2018/8/25,271910357
2018/8/26,271910357
2018/8/27,271910357
2018/8/28,271910357
2018/8/29,271910357
2018/8/30,271910357
2018/8/31,271910357
2018/9/1,307295563
2018/9/2,307295563
2018/9/3,307295563
2018/9/4,307295563
