date,Max_SthPres,Min_StnPres,Min_RH,Mean_StnPres,Mean_RH,Mean_Precp,Mean_WD,Mean_WDGust,Mean_WS,Mean_WSGust
2018/01/01,1023.7,996.6,43.0,1014.2750000000002,73.85,0.25,103.0,158.2,2.135,8.720000000000002
2018/01/02,1024.5,996.0,42.0,962.5550000000001,74.15,0.25,117.25,223.85,1.495,6.945
2018/01/03,1020.8,996.1,48.0,959.9052631578946,421.0,0.02631578947368421,388.25,771.8,1.3842105263157896,6.426315789473684
2018/01/04,1019.1,995.2,51.0,1011.095,87.5,3.65,182.65,203.4,1.3050000000000002,8.23
2018/01/05,1018.8,993.8,73.0,1010.5450000000001,90.75,2.45,78.55,115.8,1.9549999999999996,8.895
2018/01/06,1019.0,993.5,75.0,1010.0049999999999,93.05,21.375,156.05,139.1,1.8,7.360000000000001
2018/01/07,1035.3,992.5,62.0,1009.1899999999998,92.45,32.75,110.35,104.15,1.5700000000000003,8.379999999999999
2018/01/08,1018.9,991.4,66.0,1008.53,92.7,42.35,82.7,129.4,1.675,10.05
2018/01/09,1024.7,997.6,55.0,1015.7049999999999,88.15,14.675,99.75,118.4,2.0700000000000003,9.78
2018/01/10,1025.5,1000.7,31.0,967.49,61.9,0.85,76.6,77.85,1.9349999999999998,8.384999999999998
2018/01/11,1029.3,1001.5,33.0,1019.8750000000002,59.0,0.0,86.1,140.7,2.325,9.415000000000001
2018/01/12,1030.2,1002.7,31.0,1021.425,56.3,0.0,87.6,61.05,2.4899999999999993,9.864999999999998
2018/01/13,1029.6,1001.4,32.0,1020.0149999999998,62.3,0.075,99.35,167.3,2.015,9.129999999999999
2018/01/14,1025.8,998.5,25.0,914.43,64.25,0.0,83.75,162.35,1.51,6.76
2018/01/15,1023.1,995.4,26.0,1012.463157894737,411.35,0.0,5733.05,699.25,1.5947368421052635,7.294736842105263
2018/01/16,1016.1,992.3,12.0,1008.3950000000001,74.65,0.0,117.2,256.7,1.1249999999999998,5.379999999999999
2018/01/17,1015.8,992.8,44.0,1008.4849999999999,78.4,0.025,95.6,199.7,1.575,7.57
2018/01/18,1018.3,994.2,61.0,1010.4550000000002,87.8,2.625,83.6,162.45,1.9900000000000002,7.385000000000001
2018/01/19,1019.8,995.5,62.0,1011.8000000000002,91.15,5.275,96.8,96.25,1.8399999999999999,7.35
2018/01/20,1018.5,993.9,65.0,1010.475,89.25,1.5,108.95,147.35,1.9849999999999994,7.225
2018/01/21,1017.4,992.5,63.0,1008.6799999999997,88.7,1.05,107.0,164.35,1.65,6.915000000000001
2018/01/22,1016.7,990.1,45.0,1007.9549999999997,83.1,0.775,111.35,90.5,2.1999999999999997,9.535
2018/01/23,1017.0,992.3,51.0,958.975,72.8,0.275,126.1,145.3,2.06,8.29
