date,season,holiday,max_temp,min_temp,mean_temp,石化業該日最高用電量,金屬製造該日最高用電量,資訊電子該日最高用電量,綜合服務該日最高用電量,民生工業該日最高用電量
2018-01-01,4,0,25.6,13.1,17.3740625,575101.809,497303.774,1185964.275,597884.0166,444946.9005
2018-01-02,4,0,25.5,12.1,18.9690625,729178.508,584423.503,1301090.294,736756.9068,779115.3055
2018-01-03,4,0,25.6,13.6,19.590416666666666,743523.625,606847.097,1283734.018,749321.518,814767.1165
2018-01-04,4,0,24.4,15.0,18.917499999999997,758083.79,587112.209,1290648.63,753619.8148,813079.2725
2018-01-05,4,0,24.0,14.4,17.61421875,747756.178,628907.811,1277865.262,746503.5608,813494.7535
2018-01-06,4,1,22.7,14.3,17.41552083333333,663517.089,629387.499,1219725.546,611192.5948,620698.114
2018-01-07,4,1,26.3,14.9,18.272916666666667,618672.836,560532.0,1210200.251,598458.962,494861.875
2018-01-08,4,0,28.0,11.0,18.714270833333337,744231.75,627210.606,1297499.613,753315.353,801190.3615
2018-01-09,4,0,21.5,7.5,11.979479166666666,745658.085,648951.605,1254236.992,708333.1372,801843.0455
2018-01-10,4,0,18.8,7.3,12.00333333333333,732191.86,642813.98,1242676.685,692609.2846,790192.5775
2018-01-11,4,0,17.9,7.8,12.079374999999999,743743.345,650528.744,1259690.782,691718.231,792286.63
2018-01-12,4,0,19.7,6.8,11.272708333333334,735956.103,627866.749,1259069.947,683829.1416,784322.668
2018-01-13,4,1,20.1,5.4,12.439062499999997,652532.177,622549.784,1213178.059,567075.4306,594427.68
2018-01-14,4,1,21.9,6.1,14.99625,595898.373,550900.609,1183464.514,567693.5618,485333.0965
2018-01-15,4,0,25.0,9.3,17.005833333333335,738210.852,633304.758,1275840.598,695226.0184,782981.8425
2018-01-16,4,0,27.0,11.8,18.673958333333335,761581.925,634410.075,1279080.72,712220.9264,809769.457
2018-01-17,4,0,27.5,15.3,20.300729166666667,771956.087,610518.18,1294149.181,723059.9378,817585.2565
2018-01-18,4,0,27.9,16.5,20.46635416666667,773179.5284,603596.504,1321544.758,740533.5044,826931.8095
2018-01-19,4,0,27.2,15.5,19.33625,766594.981,623998.055,1310371.204,733721.036,817845.747
2018-01-20,4,1,26.1,16.2,19.277187500000004,670514.414,633719.76,1254445.365,615884.1564,618020.168
2018-01-21,4,1,26.3,16.7,19.64666666666667,630112.196,569034.318,1228218.619,605037.7448,492786.1555
2018-01-22,4,0,28.8,14.6,18.6375,768374.813,602497.068,1292050.919,729376.5372,799842.8245
2018-01-23,4,0,25.3,14.1,18.522395833333334,773197.925,627595.138,1285737.496,728162.5588,817319.768
2018-01-24,4,0,25.8,13.8,17.98625,771202.05,635347.828,1283334.83,717695.334,821079.299
2018-01-25,4,0,26.0,13.9,17.994999999999997,768954.023,638131.866,1291744.742,707805.1714,820196.737
2018-01-26,4,0,25.9,12.6,16.66770833333333,760537.306,617985.017,1284154.552,700844.4292,807505.9785
2018-01-27,4,1,24.1,12.6,17.369375,659008.884,614063.149,1241248.377,592379.2452,601058.371
2018-01-28,4,1,27.7,11.6,16.741249999999997,604081.181,562464.39,1220711.589,586173.581,489937.832
2018-01-29,4,0,20.7,9.0,12.958541666666667,722202.064,597147.513,1266483.418,676335.3344,789420.928
2018-01-30,4,0,20.8,9.2,13.61333333333333,733710.781,614216.128,1272382.485,678696.0308,806839.4645
2018-01-31,4,0,24.8,9.5,15.473854166666664,741435.987,609971.04,1272679.149,685247.0698,782476.145
2018-02-01,4,0,19.2,7.9,12.373125000000002,732613.97,604939.746,1267265.88,668367.4214,784283.1275
2018-02-02,4,0,22.5,8.1,13.335729166666667,744481.92,616112.216,1274152.616,669095.0582,779035.297
2018-02-03,4,1,17.3,5.8,10.673958333333331,667942.5,602179.832,1220951.718,562925.6494,586042.827
2018-02-04,4,1,16.7,6.0,9.639687499999999,615069.669,535061.927,1208126.127,554116.4394,469533.7545
2018-02-05,4,0,13.3,4.8,8.474270833333332,720779.483,604284.204,1266269.799,651859.583,768069.038
2018-02-06,4,0,19.3,6.3,10.787916666666668,734406.115,607626.919,1270422.355,646081.0714,777947.153
2018-02-07,4,0,17.7,8.1,11.635937499999999,733068.595,625801.274,1256277.768,650727.8852,775546.178
2018-02-08,4,0,19.6,8.6,13.034270833333334,729616.774,620360.425,1267963.273,651236.8912,778956.364
2018-02-09,4,0,23.9,11.6,15.873750000000001,736188.316,590308.062,1282257.704,659353.5736,786454.1315
2018-02-10,4,1,26.9,10.3,16.455833333333338,659091.989,603939.328,1243972.413,572760.1062,608550.5205
2018-02-11,4,1,19.6,9.4,13.292604166666663,621090.465,541985.2,1209890.286,554939.3306,484448.6225
